node,degree,out_degree,in_degree,total_weight,N_i,E_i,W_i,lambda_w,out_in_degree_ratio,out_degree_share,graph_deviation_score_raw,graph_deviation_score
192.168.10.15,1323.0,744.0,579.0,81982.0,746.0,1337.0,765528.0,244648.9746442194,1.2844827586206897,0.5623582766435659,96.12614397119212,1.0
192.168.10.5,1084.0,599.0,485.0,55938.0,601.0,1090.0,739389.0,244648.93788276706,1.2345679012345678,0.5525830258297485,84.80535219177408,0.8822298355917537
192.168.10.9,1006.0,545.0,461.0,44716.0,556.0,1010.0,726607.0,244648.84269181645,1.1818181818181819,0.5417495029815689,80.91055617850049,0.8417122838376668
192.168.10.14,765.0,413.0,352.0,36270.0,416.0,779.0,719816.0,244648.9356658379,1.1728045325779037,0.539869281045046,70.8143602044842,0.7366815860803325
192.168.10.8,394.0,216.0,178.0,23748.0,218.0,400.0,707199.0,244649.0296241169,1.2122905027932962,0.5482233502524156,55.65569809155266,0.5789860676012555
172.16.0.1,7.0,6.0,1.0,677565.0,7.0,17.0,682966.0,244649.38249905736,3.5,0.8571428570204082,50.290760097745626,0.5231746330406968
192.168.10.50,31.0,19.0,12.0,694775.0,20.0,73.0,755903.0,244651.27930461758,1.5384615384615385,0.6129032257866805,44.61678669304629,0.4641483039870758
192.168.10.16,906.0,495.0,411.0,48416.0,514.0,911.0,54916.0,3509.267038968736,1.203883495145631,0.5463576158934367,40.92287311188125,0.4257205315979944
192.168.10.17,487.0,278.0,209.0,30197.0,282.0,493.0,36701.0,884.8612323008651,1.3285714285714285,0.570841889115871,23.790675889615382,0.24749433303748425
192.168.10.12,430.0,250.0,180.0,38747.0,251.0,435.0,45247.0,1001.1973029078881,1.3867403314917126,0.5813953488358572,21.987760359388446,0.22873860794809286
192.168.10.19,340.0,215.0,125.0,17943.0,216.0,347.0,24452.0,574.5805941200915,1.7142857142857142,0.6323529411746107,19.929111501218802,0.20732248978166984
192.168.10.25,187.0,118.0,69.0,20835.0,119.0,192.0,27335.0,761.1441122498661,1.7,0.6310160427773743,13.199667698265541,0.13731610520256932
192.168.10.3,47.0,28.0,19.0,72614.0,31.0,93.0,87849.0,1602.368411982798,1.45,0.5957446808383885,8.39801910603238,0.08736456867082039
192.168.10.255,11.0,0.0,11.0,4004.0,12.0,48.0,71821.0,1553.1084515125785,0.08333333333333333,0.0,8.266403988269671,0.0859953769782653
8.6.0.1,1.0,1.0,0.0,6290.0,2.0,1.0,6290.0,0.0,2.0,0.9999999989999999,7.869205974563736,0.08186332718102211
104.97.140.32,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.9999999989999999,7.824334315390525,0.08139652743935495
104.17.241.25,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.9999999989999999,7.824334315390525,0.08139652743935495
151.101.124.166,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.9999999989999999,7.824334315390525,0.08139652743935495
104.92.130.184,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.9999999989999999,7.824334315390525,0.08139652743935495
52.84.143.114,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.9999999989999999,7.824334315390525,0.08139652743935495
216.58.212.142,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.9999999989999999,7.824334315390525,0.08139652743935495
54.210.220.92,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.9999999989999999,7.824334315390525,0.08139652743935495
52.84.143.12,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.9999999989999999,7.824334315390525,0.08139652743935495
52.84.145.117,1.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,0.9999999989999999,7.824308067544429,0.08139625438308731
169.60.66.35,1.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,0.9999999989999999,7.824308067544429,0.08139625438308731
52.20.81.238,1.0,1.0,0.0,3.0,2.0,1.0,3.0,0.0,2.0,0.9999999989999999,7.824281819698333,0.08139598132681967
23.194.101.148,1.0,1.0,0.0,5.0,2.0,1.0,5.0,0.0,2.0,0.9999999989999999,7.824229324006142,0.08139543521428438
152.163.13.4,4.0,3.0,1.0,35.0,4.0,4.0,35.0,6.782329983125268,2.0,0.7499999998125,6.454802835299828,0.06714929538039367
192.168.10.51,4.0,3.0,1.0,1980.0,4.0,4.0,1980.0,160.28100324118265,2.0,0.7499999998125,6.391718696608258,0.0664930312665385
224.0.0.251,7.0,0.0,7.0,338.0,8.0,17.0,7060.0,865.5090987390023,0.125,0.0,5.562193381272607,0.05786348179054734
178.255.83.1,9.0,0.0,9.0,2021.0,10.0,9.0,2021.0,0.0,0.1,0.0,5.49676548327003,0.05718283555530269
74.125.22.108,6.0,0.0,6.0,206.0,7.0,6.0,206.0,0.0,0.14285714285714285,0.0,5.197769175160216,0.054072377819689994
74.117.199.102,5.0,0.0,5.0,41.0,6.0,5.0,41.0,0.0,0.16666666666666666,0.0,5.068847268274631,0.05273120359216432
209.85.232.108,5.0,0.0,5.0,114.0,6.0,5.0,114.0,0.0,0.16666666666666666,0.0,5.066931175509639,0.052711270484626316
205.174.165.73,5.0,0.0,5.0,1050.0,6.0,5.0,1050.0,0.0,0.16666666666666666,0.0,5.042363191563991,0.05245568981811159
173.194.66.108,4.0,0.0,4.0,93.0,5.0,4.0,93.0,0.0,0.2,0.0,4.915042239976157,0.05113117032395617
209.85.232.109,4.0,0.0,4.0,114.0,5.0,4.0,114.0,0.0,0.2,0.0,4.914491035208146,0.05112543614233565
144.217.164.10,3.0,0.0,3.0,15.0,4.0,3.0,15.0,0.0,0.25,0.0,4.701757702204058,0.04891237188930745
207.210.46.249,3.0,0.0,3.0,15.0,4.0,3.0,15.0,0.0,0.25,0.0,4.701757702204058,0.04891237188930745
64.124.217.61,3.0,0.0,3.0,30.0,4.0,3.0,30.0,0.0,0.25,0.0,4.701363984512621,0.04890827604529279
151.80.231.118,3.0,0.0,3.0,37.0,4.0,3.0,37.0,0.0,0.25,0.0,4.701180249589951,0.04890636465141929
91.215.103.64,3.0,0.0,3.0,39.0,4.0,3.0,39.0,0.0,0.25,0.0,4.701127753897759,0.04890581853888399
202.55.225.134,3.0,0.0,3.0,45.0,4.0,3.0,45.0,0.0,0.25,0.0,4.700970266821185,0.048904180201278125
173.194.207.109,3.0,0.0,3.0,57.0,4.0,3.0,57.0,0.0,0.25,0.0,4.700655292668035,0.048900903526066394
173.194.205.108,3.0,0.0,3.0,57.0,4.0,3.0,57.0,0.0,0.25,0.0,4.700655292668035,0.048900903526066394
74.125.192.108,3.0,0.0,3.0,57.0,4.0,3.0,57.0,0.0,0.25,0.0,4.700655292668035,0.048900903526066394
50.116.194.23,3.0,0.0,3.0,63.0,4.0,3.0,63.0,0.0,0.25,0.0,4.700497805591461,0.048899265188460536
213.180.193.119,3.0,0.0,3.0,237.0,4.0,3.0,237.0,0.0,0.25,0.0,4.695930680370796,0.048851753397890496
198.100.147.178,3.0,0.0,3.0,15.0,4.0,7.0,2183.0,434.77350425250154,0.25,0.0,4.589607960516369,0.04774567844822549
198.50.139.209,2.0,0.0,2.0,10.0,3.0,2.0,10.0,0.0,0.3333333333333333,0.0,4.418997663443404,0.04597082001716126
91.189.89.198,2.0,0.0,2.0,10.0,3.0,2.0,10.0,0.0,0.3333333333333333,0.0,4.418997663443404,0.04597082001716126
91.189.89.199,2.0,0.0,2.0,11.0,3.0,2.0,11.0,0.0,0.3333333333333333,0.0,4.4189714155973085,0.04597054696089362
144.217.240.204,2.0,0.0,2.0,11.0,3.0,2.0,11.0,0.0,0.3333333333333333,0.0,4.4189714155973085,0.04597054696089362
129.128.12.20,2.0,0.0,2.0,11.0,3.0,2.0,11.0,0.0,0.3333333333333333,0.0,4.4189714155973085,0.04597054696089362
192.95.27.155,2.0,0.0,2.0,11.0,3.0,2.0,11.0,0.0,0.3333333333333333,0.0,4.4189714155973085,0.04597054696089362
206.75.89.101,2.0,0.0,2.0,11.0,3.0,2.0,11.0,0.0,0.3333333333333333,0.0,4.4189714155973085,0.04597054696089362
23.194.142.54,2.0,0.0,2.0,12.0,3.0,2.0,12.0,0.0,0.3333333333333333,0.0,4.418945167751213,0.04597027390462598
91.189.91.157,2.0,0.0,2.0,12.0,3.0,2.0,12.0,0.0,0.3333333333333333,0.0,4.418945167751213,0.04597027390462598
99.224.25.39,2.0,0.0,2.0,12.0,3.0,2.0,12.0,0.0,0.3333333333333333,0.0,4.418945167751213,0.04597027390462598
54.225.202.195,2.0,0.0,2.0,12.0,3.0,2.0,12.0,0.0,0.3333333333333333,0.0,4.418945167751213,0.04597027390462598
162.208.22.39,2.0,0.0,2.0,15.0,3.0,2.0,15.0,0.0,0.3333333333333333,0.0,4.418866424212926,0.04596945473582305
199.233.57.21,2.0,0.0,2.0,17.0,3.0,2.0,17.0,0.0,0.3333333333333333,0.0,4.418813928520734,0.04596890862328776
52.6.13.28,2.0,0.0,2.0,17.0,3.0,2.0,17.0,0.0,0.3333333333333333,0.0,4.418813928520734,0.04596890862328776
54.236.72.117,2.0,0.0,2.0,18.0,3.0,2.0,18.0,0.0,0.3333333333333333,0.0,4.4187876806746385,0.04596863556702012
23.208.218.50,2.0,0.0,2.0,18.0,3.0,2.0,18.0,0.0,0.3333333333333333,0.0,4.4187876806746385,0.04596863556702012
207.244.102.143,2.0,0.0,2.0,20.0,3.0,2.0,20.0,0.0,0.3333333333333333,0.0,4.418735184982447,0.04596808945448483
169.55.165.137,2.0,0.0,2.0,20.0,3.0,2.0,20.0,0.0,0.3333333333333333,0.0,4.418735184982447,0.04596808945448483
209.15.36.32,2.0,0.0,2.0,22.0,3.0,2.0,22.0,0.0,0.3333333333333333,0.0,4.4186826892902555,0.045967543341949545
92.242.195.4,2.0,0.0,2.0,23.0,3.0,2.0,23.0,0.0,0.3333333333333333,0.0,4.41865644144416,0.0459672702856819
172.82.206.2,2.0,0.0,2.0,26.0,3.0,2.0,26.0,0.0,0.3333333333333333,0.0,4.418577697905872,0.045966451116878956
204.2.197.211,2.0,0.0,2.0,28.0,3.0,2.0,28.0,0.0,0.3333333333333333,0.0,4.41852520221368,0.04596590500434367
74.119.118.71,2.0,0.0,2.0,29.0,3.0,2.0,29.0,0.0,0.3333333333333333,0.0,4.4184989543675846,0.04596563194807603
95.131.143.205,2.0,0.0,2.0,34.0,3.0,2.0,34.0,0.0,0.3333333333333333,0.0,4.418367715137106,0.045964266666737814
104.244.43.176,2.0,0.0,2.0,34.0,3.0,2.0,34.0,0.0,0.3333333333333333,0.0,4.418367715137106,0.045964266666737814
173.194.207.108,2.0,0.0,2.0,38.0,3.0,2.0,38.0,0.0,0.3333333333333333,0.0,4.418262723752723,0.04596317444166724
173.194.204.109,2.0,0.0,2.0,38.0,3.0,2.0,38.0,0.0,0.3333333333333333,0.0,4.418262723752723,0.04596317444166724
74.125.192.109,2.0,0.0,2.0,38.0,3.0,2.0,38.0,0.0,0.3333333333333333,0.0,4.418262723752723,0.04596317444166724
194.226.130.229,2.0,0.0,2.0,41.0,3.0,2.0,41.0,0.0,0.3333333333333333,0.0,4.418183980214436,0.04596235527286431
173.194.205.109,2.0,0.0,2.0,55.0,3.0,2.0,55.0,0.0,0.3333333333333333,0.0,4.417816510369095,0.04595853248511729
104.25.84.101,2.0,0.0,2.0,83.0,3.0,2.0,83.0,0.0,0.3333333333333333,0.0,4.417081570678413,0.045950886909623255
138.108.7.20,2.0,0.0,2.0,85.0,3.0,2.0,85.0,0.0,0.3333333333333333,0.0,4.417029074986221,0.04595034079708797
52.45.18.28,2.0,0.0,2.0,89.0,3.0,2.0,89.0,0.0,0.3333333333333333,0.0,4.416924083601838,0.0459492485720174
121.78.124.148,2.0,0.0,2.0,101.0,3.0,2.0,101.0,0.0,0.3333333333333333,0.0,4.416609109448689,0.04594597189680567
121.78.124.168,2.0,0.0,2.0,102.0,3.0,2.0,102.0,0.0,0.3333333333333333,0.0,4.416582861602593,0.04594569884053802
204.154.111.110,2.0,0.0,2.0,107.0,3.0,2.0,107.0,0.0,0.3333333333333333,0.0,4.416451622372114,0.04594433355919981
74.121.138.148,2.0,0.0,2.0,124.0,3.0,2.0,124.0,0.0,0.3333333333333333,0.0,4.416005408988486,0.04593969160264986
68.67.178.230,2.0,0.0,2.0,134.0,3.0,2.0,134.0,0.0,0.3333333333333333,0.0,4.415742930527529,0.045936961039973426
72.21.81.48,2.0,0.0,2.0,261.0,3.0,2.0,261.0,0.0,0.3333333333333333,0.0,4.412409454073364,0.045902282893982634
172.82.206.1,2.0,0.0,2.0,286.0,3.0,2.0,286.0,0.0,0.3333333333333333,0.0,4.41175325792097,0.04589545648729154
61.110.225.154,2.0,0.0,2.0,892.0,3.0,2.0,892.0,0.0,0.3333333333333333,0.0,4.395847063186929,0.04572998438909932
69.4.95.11,2.0,0.0,2.0,2582.0,3.0,2.0,2582.0,0.0,0.3333333333333333,0.0,4.366778539908335,0.045427584624813486
67.215.197.149,2.0,0.0,2.0,8.0,3.0,4.0,847.0,232.01293067413292,0.3333333333333333,0.0,4.337992773582165,0.045128126380292656
52.84.143.87,3.0,2.0,1.0,18.0,3.0,3.0,18.0,4.0,1.5,0.6666666664444444,4.060862323187722,0.04224513909977201
204.2.255.232,3.0,2.0,1.0,24.0,3.0,3.0,24.0,4.358898943540674,1.5,0.6666666664444444,4.060676703619811,0.04224320809993948
23.2.12.111,3.0,2.0,1.0,28.0,3.0,3.0,28.0,8.124038404635959,1.5,0.6666666664444444,4.060276579705302,0.042239045612004575
107.178.254.65,3.0,2.0,1.0,32.0,3.0,3.0,32.0,9.16515138991168,1.5,0.6666666664444444,4.060089980106226,0.04223710441691063
52.84.145.177,3.0,2.0,1.0,62.0,3.0,3.0,62.0,18.16590212458495,1.5,0.6666666664444444,4.058597015920288,0.0422215731147668
173.241.254.199,3.0,2.0,1.0,82.0,3.0,3.0,82.0,23.664319132398465,1.5,0.6666666664444444,4.057641062553229,0.04221162833463138
23.15.4.18,3.0,2.0,1.0,98.0,3.0,3.0,98.0,27.982137159266447,1.5,0.6666666664444444,4.056882642471831,0.04220373849270009
23.199.203.113,3.0,2.0,1.0,142.0,3.0,3.0,142.0,36.05551275463989,1.5,0.6666666664444444,4.055094901251554,0.042185140625913574
204.79.197.200,7.0,1.0,6.0,128.0,7.0,7.0,128.0,4.47213595499958,0.2857142857142857,0.1428571428367347,3.9321222511698966,0.04090585649985406
192.168.10.1,1.0,0.0,1.0,9337.0,2.0,1.0,9337.0,0.0,0.5,0.0,3.921062605414937,0.040790803036789176
8.0.6.4,1.0,0.0,1.0,6290.0,2.0,1.0,6290.0,0.0,0.5,0.0,3.841085418361103,0.0399588005892781
34.207.42.44,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.5,0.0,3.796213759187892,0.03949200084761095
116.213.76.136,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.5,0.0,3.796213759187892,0.03949200084761095
54.210.195.63,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.5,0.0,3.796213759187892,0.03949200084761095
121.40.44.206,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.5,0.0,3.796213759187892,0.03949200084761095
54.83.19.188,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.5,0.0,3.796213759187892,0.03949200084761095
52.8.72.161,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.5,0.0,3.796213759187892,0.03949200084761095
52.22.202.224,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.5,0.0,3.796213759187892,0.03949200084761095
103.224.182.245,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.5,0.0,3.796187511341796,0.039491727791343315
198.105.244.11,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.5,0.0,3.796187511341796,0.039491727791343315
5.196.161.205,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.5,0.0,3.796187511341796,0.039491727791343315
198.105.254.11,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.5,0.0,3.796187511341796,0.039491727791343315
174.35.74.148,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.5,0.0,3.796187511341796,0.039491727791343315
162.255.119.249,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.5,0.0,3.796187511341796,0.039491727791343315
23.234.51.145,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.5,0.0,3.796187511341796,0.039491727791343315
208.111.171.129,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.5,0.0,3.796187511341796,0.039491727791343315
184.73.198.237,1.0,0.0,1.0,3.0,2.0,1.0,3.0,0.0,0.5,0.0,3.7961612634957,0.03949145473507566
52.3.131.159,1.0,0.0,1.0,3.0,2.0,1.0,3.0,0.0,0.5,0.0,3.7961612634957,0.03949145473507566
66.155.106.151,1.0,0.0,1.0,3.0,2.0,1.0,3.0,0.0,0.5,0.0,3.7961612634957,0.03949145473507566
79.127.127.5,1.0,0.0,1.0,3.0,2.0,1.0,3.0,0.0,0.5,0.0,3.7961612634957,0.03949145473507566
23.21.56.196,1.0,0.0,1.0,3.0,2.0,1.0,3.0,0.0,0.5,0.0,3.7961612634957,0.03949145473507566
65.52.108.221,1.0,0.0,1.0,3.0,2.0,1.0,3.0,0.0,0.5,0.0,3.7961612634957,0.03949145473507566
54.217.239.90,1.0,0.0,1.0,3.0,2.0,1.0,3.0,0.0,0.5,0.0,3.7961612634957,0.03949145473507566
101.201.103.96,1.0,0.0,1.0,4.0,2.0,1.0,4.0,0.0,0.5,0.0,3.7961350156496043,0.03949118167880802
54.173.13.65,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
167.114.204.238,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
52.84.145.230,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
47.55.177.238,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
46.236.9.36,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
97.107.129.217,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
50.116.52.97,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
144.217.163.175,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
108.59.2.24,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
198.206.133.14,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
62.161.94.220,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
45.79.109.111,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
198.245.51.213,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
54.225.255.135,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
206.108.0.131,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
206.108.0.133,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
52.60.76.61,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
204.2.197.201,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
34.230.189.151,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
144.217.148.73,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
107.20.191.152,1.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,0.5,0.0,3.7961087678035086,0.03949090862254038
198.60.22.240,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
74.217.63.54,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
159.203.8.72,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
176.53.21.93,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
144.217.95.60,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
65.52.108.189,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
171.66.97.126,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
104.90.89.164,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
74.217.63.64,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
66.70.172.17,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
173.193.144.4,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
104.97.114.101,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
209.48.71.154,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
157.240.0.35,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
68.67.178.111,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
188.42.162.227,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
158.69.125.231,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
23.194.140.10,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
23.36.34.30,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
208.81.1.244,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
173.255.215.209,1.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,0.5,0.0,3.7960825199574124,0.039490635566272726
46.4.53.194,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,3.7960562721113167,0.03949036251000509
104.192.110.216,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,3.7960562721113167,0.03949036251000509
67.217.177.62,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,3.7960562721113167,0.03949036251000509
185.4.227.114,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,3.7960562721113167,0.03949036251000509
191.232.80.53,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,3.7960562721113167,0.03949036251000509
34.226.228.77,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,3.7960562721113167,0.03949036251000509
193.200.227.12,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,3.7960562721113167,0.03949036251000509
88.212.201.193,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,3.7960562721113167,0.03949036251000509
174.129.1.102,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,3.7960562721113167,0.03949036251000509
173.241.242.219,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,3.7960562721113167,0.03949036251000509
169.55.70.244,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,3.7960562721113167,0.03949036251000509
54.165.241.22,1.0,0.0,1.0,8.0,2.0,1.0,8.0,0.0,0.5,0.0,3.796030024265221,0.03949008945373744
23.21.240.128,1.0,0.0,1.0,8.0,2.0,1.0,8.0,0.0,0.5,0.0,3.796030024265221,0.03949008945373744
130.211.9.122,1.0,0.0,1.0,8.0,2.0,1.0,8.0,0.0,0.5,0.0,3.796030024265221,0.03949008945373744
122.220.195.247,1.0,0.0,1.0,8.0,2.0,1.0,8.0,0.0,0.5,0.0,3.796030024265221,0.03949008945373744
66.198.26.48,1.0,0.0,1.0,8.0,2.0,1.0,8.0,0.0,0.5,0.0,3.796030024265221,0.03949008945373744
66.242.15.127,1.0,0.0,1.0,8.0,2.0,1.0,8.0,0.0,0.5,0.0,3.796030024265221,0.03949008945373744
94.31.29.99,1.0,0.0,1.0,8.0,2.0,1.0,8.0,0.0,0.5,0.0,3.796030024265221,0.03949008945373744
88.99.183.3,1.0,0.0,1.0,8.0,2.0,1.0,8.0,0.0,0.5,0.0,3.796030024265221,0.03949008945373744
52.84.40.197,1.0,0.0,1.0,9.0,2.0,1.0,9.0,0.0,0.5,0.0,3.7960037764191252,0.0394898163974698
72.5.205.50,1.0,0.0,1.0,9.0,2.0,1.0,9.0,0.0,0.5,0.0,3.7960037764191252,0.0394898163974698
77.66.54.155,1.0,0.0,1.0,9.0,2.0,1.0,9.0,0.0,0.5,0.0,3.7960037764191252,0.0394898163974698
88.99.95.152,1.0,0.0,1.0,9.0,2.0,1.0,9.0,0.0,0.5,0.0,3.7960037764191252,0.0394898163974698
217.118.84.159,1.0,0.0,1.0,9.0,2.0,1.0,9.0,0.0,0.5,0.0,3.7960037764191252,0.0394898163974698
77.88.21.114,1.0,0.0,1.0,9.0,2.0,1.0,9.0,0.0,0.5,0.0,3.7960037764191252,0.0394898163974698
124.33.183.215,1.0,0.0,1.0,9.0,2.0,1.0,9.0,0.0,0.5,0.0,3.7960037764191252,0.0394898163974698
65.55.252.202,1.0,0.0,1.0,9.0,2.0,1.0,9.0,0.0,0.5,0.0,3.7960037764191252,0.0394898163974698
12.129.210.53,1.0,0.0,1.0,9.0,2.0,1.0,9.0,0.0,0.5,0.0,3.7960037764191252,0.0394898163974698
85.159.232.5,1.0,0.0,1.0,9.0,2.0,1.0,9.0,0.0,0.5,0.0,3.7960037764191252,0.0394898163974698
222.230.178.23,1.0,0.0,1.0,9.0,2.0,1.0,9.0,0.0,0.5,0.0,3.7960037764191252,0.0394898163974698
203.162.76.220,1.0,0.0,1.0,9.0,2.0,1.0,9.0,0.0,0.5,0.0,3.7960037764191252,0.0394898163974698
138.201.8.32,1.0,0.0,1.0,9.0,2.0,1.0,9.0,0.0,0.5,0.0,3.7960037764191252,0.0394898163974698
