node,degree,out_degree,in_degree,total_weight,N_i,E_i,W_i,lambda_w,score_edpl,score_ewpl,score_elwpl,score_graph_deviance,score_lof,score_edpl_norm,score_ewpl_norm,score_elwpl_norm,score_graph_deviance_norm,score_lof_norm,oddball_score,window_start,window_end,graph_deviation_score_raw,graph_deviation_score
104.16.207.165,3.0,1.0,2.0,19.0,3.0,3.0,19.0,3.1622776601683795,0.0377246574198915,0.4867268054008037,1.7644151067514573,0.1887923374485087,1.645931824264044,0.0206352066339227,0.035640003953692,0.0688493846872987,0.0025820953741233,5.5218049138221295e-11,0.025541338140851,2017-07-07 03:30:00,2017-07-07 03:40:00,0.18879233739272352,0.002582095373374947
192.168.10.5,484.0,276.0,208.0,4427.0,277.0,485.0,4434.0,68.08893307081416,1.8281695981602124,1.484761151548496,25.62717320953713,73.11594271090937,28.110637383988927,1.0,0.1087199076038177,1.0,1.0,9.43061269910054e-10,0.6217439817093757,2017-07-07 03:30:00,2017-07-07 03:40:00,73.1159427104976,1.0
104.16.28.216,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1.4142135623730951,0.0856089310165113,0.5868267830212922,3.354674220312668,0.7276612495725534,1.0,0.0468276745782581,0.0429697083352309,0.130903014268629,0.0099521557487076,3.3548199460151577e-11,0.0461305105928747,2017-07-07 03:30:00,2017-07-07 03:40:00,0.727661249504173,0.00995215574782843
104.17.241.25,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.1546448710086977,0.3683552732135498,3.607326089512245e-09,1.060559880560044,1.0,0.0845900025710554,0.0269723862504009,1.4076176330559087e-10,0.0145051795988373,3.3548199460151577e-11,0.0252135137189207,2017-07-07 03:30:00,2017-07-07 03:40:00,1.06055988068149,0.014505179600580056
192.168.10.16,304.0,166.0,138.0,1355.0,189.0,307.0,1427.0,56.43580423808983,1.606134302876511,3.0925730780951284,17.578755878687996,42.49435391133675,9.521526566730593,0.8785477586394895,0.2264500650208282,0.6859420559168843,0.5811913563004136,3.194300724258101e-10,0.4744262472394092,2017-07-07 03:30:00,2017-07-07 03:40:00,42.49435391100887,0.5811913562992023
104.19.196.102,2.0,1.0,1.0,27.0,2.0,2.0,27.0,7.071067811865476,0.0856089310165113,1.7691888818783037,2.153353443263237,0.993012198630577,1.054504996119525,0.0468276745782581,0.1295467971874858,0.0840261789958897,0.0135813361876056,3.5376743941544186e-11,0.0547963973969232,2017-07-07 03:30:00,2017-07-07 03:40:00,0.9930121986581986,0.01358133618805994
104.20.10.120,4.0,2.0,2.0,21.0,3.0,4.0,21.0,5.830951894845298,0.2448781103956398,0.1631731065878347,2.583912789154911,0.626404692376251,1.2066147412453363,0.133947151643958,0.0119481608561455,0.1008270700801799,0.008567279161714,4.0479752010857726e-11,0.0510579323564954,2017-07-07 03:30:00,2017-07-07 03:40:00,0.6264046924128073,0.00856727916226226
104.28.13.116,2.0,1.0,1.0,7.0,2.0,2.0,7.0,3.1622776601683795,0.0856089310165113,0.115053960816557,4.015824936504869,0.357902439331388,1.0,0.0468276745782581,0.0084246924001101,0.1567018298768271,0.0048949986290471,3.3548199460151577e-11,0.0433698391035581,2017-07-07 03:30:00,2017-07-07 03:40:00,0.3579024392756041,0.004894998628311721
192.168.10.8,16.0,9.0,7.0,45.0,11.0,17.0,52.0,7.535697451670546,0.1554034553129923,1.2852109880674043,0.0483368266935541,1.9618667167944448,1.4505287698638931,0.085004944546383,0.0941080790862379,0.0018861552266547,0.0268322700091743,4.8662628494082193e-11,0.0415662897834225,2017-07-07 03:30:00,2017-07-07 03:40:00,1.9618667168187254,0.02683227000965756
104.97.123.193,2.0,1.0,1.0,10.0,2.0,2.0,10.0,3.0,0.0856089310165113,0.2387649076309312,3.0903423914681127,0.3752739772099175,0.9708015661270188,0.0468276745782581,0.0174832825263485,0.1205885005810178,0.0051325875492531,3.256864457665676e-11,0.0380064090534892,2017-07-07 03:30:00,2017-07-07 03:40:00,0.37527397715296423,0.0051325875485030755
104.97.125.160,2.0,1.0,1.0,10.0,2.0,2.0,10.0,4.58257569495584,0.0856089310165113,0.2387649076309312,4.149858665464737,0.5807625888432295,1.0585580194727204,0.0468276745782581,0.0174832825263485,0.1619319708628796,0.0079430363243689,3.551271557741384e-11,0.0468371928654735,2017-07-07 03:30:00,2017-07-07 03:40:00,0.5807625888887828,0.007943036325036673
104.97.139.37,4.0,2.0,2.0,59.0,3.0,4.0,59.0,11.357816691600547,0.2448781103956398,2.052993368111262,0.0025964010934263,1.8099515421221517,1.1738704236319526,0.133947151643958,0.1503280504473899,0.0001013143772119,0.024754540186652,3.9381239112377374e-11,0.0618262113389186,2017-07-07 03:30:00,2017-07-07 03:40:00,1.8099515421188814,0.024754540186746686
104.97.140.32,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.1546448710086977,0.3683552732135498,3.607326089512245e-09,1.060559880560044,1.0,0.0845900025710554,0.0269723862504009,1.4076176330559087e-10,0.0145051795988373,3.3548199460151577e-11,0.0252135137189207,2017-07-07 03:30:00,2017-07-07 03:40:00,1.06055988068149,0.014505179600580056
121.29.54.141,2.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0000000000000004,0.0856089310165113,0.4802036577357381,3.847179537576903,0.6054648896063,1.0,0.0468276745782581,0.035162354056473,0.150121104115579,0.0082808874119318,3.3548199460151577e-11,0.048078404039158,2017-07-07 03:30:00,2017-07-07 03:40:00,0.6054648895421408,0.00828088741110099
192.168.10.25,23.0,16.0,7.0,115.0,17.0,26.0,187.0,8.426149773176355,0.0171768134166317,0.0311099489345866,4.380472355924989,3.5913767834036605,1.8622589435226025,0.0093956345373633,0.0022779898101457,0.1709307663435466,0.0491189287896277,6.247543448374741e-11,0.0463446639086317,2017-07-07 03:30:00,2017-07-07 03:40:00,3.5913767834215307,0.04911892879014879
138.201.37.241,2.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0000000000000004,0.0856089310165113,0.4802036577357381,3.847179537576903,0.6054648896063,1.0,0.0468276745782581,0.035162354056473,0.150121104115579,0.0082808874119318,3.3548199460151577e-11,0.048078404039158,2017-07-07 03:30:00,2017-07-07 03:40:00,0.6054648895421408,0.00828088741110099
144.76.121.178,2.0,1.0,1.0,11.0,2.0,2.0,11.0,4.898979485566356,0.0856089310165113,0.3502858240070899,4.066909806347469,0.639019888735618,1.176832167288833,0.0468276745782581,0.0256492718584805,0.1586952167176195,0.0087398160379633,3.9480600279328236e-11,0.0479823958463604,2017-07-07 03:30:00,2017-07-07 03:40:00,0.6390198887788912,0.00873981603860445
145.243.233.163,2.0,1.0,1.0,10.0,2.0,2.0,10.0,4.0,0.0856089310165113,0.2387649076309312,3.788857550214621,0.4642373672113595,0.985475184263634,0.0468276745782581,0.0174832825263485,0.1478453171262994,0.0063493316231576,3.3060918044706017e-11,0.0437011211774249,2017-07-07 03:30:00,2017-07-07 03:40:00,0.46423736726111076,0.006349331623873845
151.101.0.166,3.0,2.0,1.0,25.0,3.0,3.0,25.0,7.549834435270749,0.0377246574198915,0.9176748416311444,2.5349503628850063,0.9900687866909036,1.0465045523023992,0.0206352066339227,0.0671956724409403,0.0989165032818222,0.0135410794141778,3.510834345659752e-11,0.0400576923611943,2017-07-07 03:30:00,2017-07-07 03:40:00,0.9900687867150739,0.013541079414584708
192.168.10.9,273.0,149.0,124.0,1730.0,160.0,274.0,1737.0,48.36320915737498,1.328424026175154,2.087612501622002,18.39479571620669,39.12464665489749,11.474603477343573,0.7266415695305403,0.1528629962147186,0.7177848124646493,0.5351041811714183,3.8495228618407104e-10,0.4264787119532557,2017-07-07 03:30:00,2017-07-07 03:40:00,39.124646654627746,0.5351041811707425
151.101.0.249,6.0,3.0,3.0,40.0,4.0,6.0,40.0,9.695359714832655,0.3255957126368503,0.4336591215061173,1.2958199533948704,1.412254800435051,1.1764987753731435,0.1780992928470723,0.0317541845518564,0.0505642952814098,0.0193152785572213,3.946941558084229e-11,0.0559466102554058,2017-07-07 03:30:00,2017-07-07 03:40:00,1.4122548004437596,0.019315278557449213
