node,degree,out_degree,in_degree,total_weight,N_i,E_i,W_i,lambda_w,score_edpl,score_ewpl,score_elwpl,score_graph_deviance,score_lof,score_edpl_norm,score_ewpl_norm,score_elwpl_norm,score_graph_deviance_norm,score_lof_norm,oddball_score,majority_label,is_malicious
192.168.10.15,1323.0,744.0,579.0,81982.0,746.0,1337.0,765528.0,244648.97464421904,4.278078452038928,6.737139074517436,51.468351573026645,93.663737869691,35.16739442375692,1.0,0.16786682997386745,1.0,1.0,2.292668057690222e-09,0.6335733664533072,BENIGN,False
192.168.10.5,1084.0,599.0,485.0,55938.0,601.0,1090.0,739389.0,244648.93788276697,3.89027719289891,8.121949733468318,51.00448992614402,82.59489555199676,34.42916861594609,0.9093515316543126,0.20237165061967813,0.9909874392183617,0.881823611042582,2.244540900229074e-09,0.5969068469558951,BENIGN,False
192.168.10.9,1006.0,545.0,461.0,44716.0,556.0,1010.0,726607.0,244648.84269181645,3.7610438416364094,8.607843845073385,50.77165687313993,78.96883989822,34.069224980593425,0.879143261116191,0.21447849646565814,0.9864636290342775,0.8431100625952471,2.221075093652728e-09,0.5846390902864897,BENIGN,False
192.168.10.14,765.0,413.0,352.0,36270.0,416.0,779.0,719816.0,244648.9356658381,3.237702736711629,10.584726149860177,50.64628161230864,68.9187083679747,33.87828026830117,0.7568123803733761,0.2637357497397063,0.9840276609684769,0.7358099296000481,2.208626834410594e-09,0.5480771445780468,BENIGN,False
172.16.0.1,7.0,6.0,1.0,677565.0,7.0,17.0,682966.0,244649.3824990573,0.7206476646986684,40.133831535189145,49.94463680246486,37.331495293163684,32.84606009450681,0.16845125043352313,1.0,0.9703951122584559,0.39856935183497433,2.1413333013030323e-09,0.5074831433336573,DDoS,True
192.168.10.8,394.0,216.0,178.0,23748.0,218.0,400.0,707199.0,244649.0296241167,2.37684267092085,15.691063034173176,50.41017488657468,53.557673227792414,33.52410118117829,0.555586508655083,0.3909684780635841,0.9794402452359378,0.5718079850956209,2.1855368360455186e-09,0.49956064384715243,BENIGN,False
192.168.10.50,31.0,19.0,12.0,694775.0,20.0,73.0,755903.0,244651.27930461767,1.1459660130721354,29.556679580701747,51.2994035224095,40.868424750318994,34.895233916471135,0.26786933103715505,0.7364529737158685,0.9967174380866379,0.4363313452979732,2.274925096864061e-09,0.48747421808251196,BENIGN,False
192.168.10.16,906.0,495.0,411.0,48416.0,514.0,911.0,54916.0,3509.267038968736,3.696293358099259,4.624909985361035,25.765518577557973,38.86836519138284,14.188847082636675,0.8640078482753417,0.11523719038153477,0.5006089721175581,0.4149777285789958,9.2501355345896e-10,0.3789663480556888,BENIGN,False
192.168.10.17,487.0,278.0,209.0,30197.0,282.0,493.0,36701.0,884.8612323008633,2.833198571220318,2.53856887492986,22.537346116947436,21.106471613823548,13.975588658424787,0.662259610940519,0.06325259208565859,0.43788746731027484,0.22534304196985788,9.111105963239367e-10,0.27774854264348414,BENIGN,False
192.168.10.12,430.0,250.0,180.0,38747.0,251.0,435.0,45247.0,1001.1973029078873,2.691257210426264,0.8338767665794841,24.132976477394852,19.014078579920376,12.063914276623198,0.6290808456641588,0.02077740237306635,0.468889632945664,0.20300362779001596,7.864828022073379e-10,0.26435030191187764,BENIGN,False
192.168.10.255,11.0,0.0,11.0,4004.0,12.0,48.0,71821.0,1553.108451512582,1.49399459906305,15.714464105767856,27.91765706174065,3.0522447280975875,18.070677772932743,0.34922094482652927,0.3915515540047427,0.5424237654499049,0.032587261596841256,1.1780817541269987e-09,0.26315670541121994,,
192.168.10.19,340.0,215.0,125.0,17943.0,216.0,347.0,24452.0,574.5805941200911,2.6502429203290094,2.1578575255129944,19.51996906133601,15.36717288653899,11.829039579180003,0.6194937633894737,0.0537665466508224,0.3792615940621259,0.1640674740946006,7.71170615302075e-10,0.24331787579363864,BENIGN,False
