node,degree,out_degree,in_degree,total_weight,N_i,E_i,W_i,lambda_w,score_edpl,score_ewpl,score_elwpl,score_graph_deviance,score_lof,score_edpl_norm,score_ewpl_norm,score_elwpl_norm,score_graph_deviance_norm,score_lof_norm,oddball_score,majority_label,is_malicious,rank_asc
50.63.243.230,16.0,7.0,9.0,722.0,10.0,16.0,722.0,64.76881965884509,0.03890185576511243,0.3084273260726844,0.9582309833214767,0.5226224416390695,1.0670644740472386,0.00909330116341645,0.0076849708655964445,0.01861786814683343,0.005579773491061868,6.956513768594012e-11,0.008195182747294666,BENIGN,False,1
172.217.3.110,15.0,7.0,8.0,586.0,9.0,15.0,586.0,57.74945887192364,0.13175001124216082,0.03977411206471699,0.22051204901875734,0.46950478628083964,0.9998611821241827,0.030796539315301453,0.0009910370015343102,0.004284420275358548,0.005012663352534945,6.518395325961946e-11,0.008216932001982643,BENIGN,False,2
98.139.225.43,9.0,3.0,6.0,262.0,7.0,9.0,262.0,17.578395831246947,0.06189217672150801,0.3266094133483592,0.8635280361824185,0.2849847988617324,1.038721651317831,0.01446728418269428,0.00813800728350568,0.01677784521536869,0.0030426374746886082,6.771738395265246e-11,0.008485154844794928,BENIGN,False,3
54.225.186.185,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,4
50.19.226.229,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,5
209.85.144.157,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,6
50.97.130.118,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,7
72.30.202.150,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,8
52.52.86.145,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,9
91.192.148.30,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,10
54.210.204.131,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,11
5.79.102.221,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,12
89.163.159.117,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,13
5.79.102.218,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,14
