node,degree,out_degree,in_degree,total_weight,N_i,E_i,W_i,lambda_w,score_edpl,score_ewpl,score_elwpl,score_graph_deviance,score_lof,score_edpl_norm,score_ewpl_norm,score_elwpl_norm,score_graph_deviance_norm,score_lof_norm,oddball_score,window_start,window_end,num_flows,total_bytes,total_packets,num_flows_norm,total_bytes_norm,total_packets_norm,combined_score
104.16.207.165,3.0,1.0,2.0,19.0,3.0,3.0,19.0,3.1622776601683795,0.03772465741989158,0.48672680540080376,1.7644151067514573,0.1887923374485087,1.645931824264044,0.020635206633922792,0.035640003953692066,0.0688493846872987,0.002582095374123374,5.52180491382213e-11,0.025541338140851,2017-07-07 03:30:00,2017-07-07 03:40:00,1.0,12.0,2.0,0.00045682960255824577,5.690081192716886e-06,9.718172983479106e-05,0.006525259888609189
192.168.10.5,484.0,276.0,208.0,4427.0,277.0,485.0,4434.0,68.08893307081415,1.8281695981602124,1.484761151548496,25.62717320953713,73.11594271090937,28.110637383988927,1.0,0.10871990760381778,1.0,1.0,9.43061269910054e-10,0.6217439817093757,2017-07-07 03:30:00,2017-07-07 03:40:00,2189.0,2108933.0,20210.0,1.0,1.0,0.9820213799805636,0.9009413404224847
104.16.28.216,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1.4142135623730951,0.08560893101651135,0.5868267830212922,3.3546742203126674,0.7276612495725534,1.0,0.04682767457825812,0.04296970833523095,0.13090301426862908,0.009952155748707617,3.3548199460151577e-11,0.04613051059287479,2017-07-07 03:30:00,2017-07-07 03:40:00,2.0,12.0,2.0,0.0009136592051164915,5.690081192716886e-06,9.718172983479106e-05,0.011786760402254697
104.17.241.25,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.15464487100869773,0.3683552732135498,3.607326089512245e-09,1.060559880560044,1.0,0.08459000257105542,0.02697238625040099,1.4076176330559087e-10,0.014505179598837365,3.3548199460151577e-11,0.02521351371892075,2017-07-07 03:30:00,2017-07-07 03:40:00,1.0,6.0,1.0,0.00045682960255824577,2.845040596358443e-06,4.859086491739553e-05,0.006430444806748187
192.168.10.16,304.0,166.0,138.0,1355.0,189.0,307.0,1427.0,56.435804238089844,1.606134302876511,3.0925730780951284,17.578755878687996,42.49435391133675,9.521526566730591,0.8785477586394895,0.22645006502082823,0.6859420559168843,0.5811913563004136,3.1943007242581013e-10,0.4744262472394092,2017-07-07 03:30:00,2017-07-07 03:40:00,1323.0,1903194.0,20580.0,0.6043855641845591,0.9024440321243017,1.0,0.7453139608870676
104.19.196.102,2.0,1.0,1.0,27.0,2.0,2.0,27.0,7.0710678118654755,0.08560893101651135,1.7691888818783037,2.153353443263237,0.993012198630577,1.054504996119525,0.04682767457825812,0.1295467971874858,0.08402617899588974,0.013581336187605679,3.5376743941544186e-11,0.05479639739692321,2017-07-07 03:30:00,2017-07-07 03:40:00,3.0,36.0,6.0,0.0013704888076747374,1.707024357815066e-05,0.0002915451895043732,0.014118875409420119
104.20.10.120,4.0,2.0,2.0,21.0,3.0,4.0,21.0,5.8309518948453,0.2448781103956398,0.1631731065878347,2.5839127891549123,0.6264046923762514,1.2066147412453365,0.13394715164395804,0.01194816085614553,0.10082707008018002,0.00856727916171404,4.047975201085773e-11,0.05105793235649547,2017-07-07 03:30:00,2017-07-07 03:40:00,9.0,96.0,16.0,0.004111466423024212,4.5520649541735087e-05,0.0007774538386783285,0.013998093316934936
104.28.13.116,2.0,1.0,1.0,7.0,2.0,2.0,7.0,3.1622776601683795,0.08560893101651135,0.11505396081655703,4.015824936504869,0.35790243933138804,1.0,0.04682767457825812,0.008424692400110111,0.1567018298768271,0.0048949986290471054,3.3548199460151577e-11,0.04336983910355813,2017-07-07 03:30:00,2017-07-07 03:40:00,1.0,12.0,2.0,0.00045682960255824577,5.690081192716886e-06,9.718172983479106e-05,0.01098238512928597
192.168.10.8,16.0,9.0,7.0,45.0,11.0,17.0,52.0,7.535697451670545,0.15540345531299232,1.2852109880674045,0.048336826693553936,1.9618667167944448,1.4505287698638933,0.08500494454638309,0.09410807908623794,0.0018861552266547068,0.02683227000917437,4.86626284940822e-11,0.04156628978342255,2017-07-07 03:30:00,2017-07-07 03:40:00,39.0,26989.0,170.0,0.017816354499771585,0.012797466775853002,0.00826044703595724,0.020110139523751094
104.97.123.193,2.0,1.0,1.0,10.0,2.0,2.0,10.0,3.0,0.08560893101651135,0.23876490763093125,3.0903423914681127,0.3752739772099175,0.9708015661270188,0.04682767457825812,0.017483282526348523,0.12058850058101783,0.005132587549253115,3.256864457665676e-11,0.038006409053489246,2017-07-07 03:30:00,2017-07-07 03:40:00,3.0,86.0,6.0,0.0013704888076747374,4.077891521447102e-05,0.0002915451895043732,0.009927305491470707
104.97.125.160,2.0,1.0,1.0,10.0,2.0,2.0,10.0,4.58257569495584,0.08560893101651135,0.23876490763093125,4.149858665464737,0.5807625888432295,1.0585580194727204,0.04682767457825812,0.017483282526348523,0.16193197086287967,0.007943036324368912,3.551271557741384e-11,0.04683719286547358,2017-07-07 03:30:00,2017-07-07 03:40:00,5.0,203.0,13.0,0.0022841480127912287,9.625720684346065e-05,0.0006316812439261419,0.012462319832258604
104.97.139.37,4.0,2.0,2.0,59.0,3.0,4.0,59.0,11.357816691600547,0.2448781103956398,2.052993368111262,0.0025964010934263334,1.8099515421221515,1.1738704236319526,0.13394715164395804,0.15032805044738995,0.00010131437721192305,0.024754540186652,3.9381239112377374e-11,0.061826211338918635,2017-07-07 03:30:00,2017-07-07 03:40:00,12.0,418.0,30.0,0.00548195523069895,0.0001982044948796382,0.0014577259475218659,0.01724102425300477
104.97.140.32,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.15464487100869773,0.3683552732135498,3.607326089512245e-09,1.060559880560044,1.0,0.08459000257105542,0.02697238625040099,1.4076176330559087e-10,0.014505179598837365,3.3548199460151577e-11,0.02521351371892075,2017-07-07 03:30:00,2017-07-07 03:40:00,1.0,0.0,1.0,0.00045682960255824577,0.0,4.859086491739553e-05,0.0064297335465990976
121.29.54.141,2.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0000000000000004,0.08560893101651135,0.4802036577357381,3.8471795375769027,0.6054648896063,1.0,0.04682767457825812,0.035162354056473,0.15012110411557908,0.008280887411931854,3.3548199460151577e-11,0.04807840403915805,2017-07-07 03:30:00,2017-07-07 03:40:00,7.0,0.0,12.0,0.0031978072179077205,0.0,0.0005830903790087463,0.01296482540901863
192.168.10.25,23.0,16.0,7.0,115.0,17.0,26.0,187.0,8.426149773176357,0.017176813416631787,0.03110994893458667,4.38047235592499,3.5913767834036614,1.8622589435226022,0.00939563453736336,0.002277989810145756,0.17093076634354668,0.04911892878962778,6.247543448374741e-11,0.0463446639086318,2017-07-07 03:30:00,2017-07-07 03:40:00,111.0,117121.0,1334.0,0.05070808588396528,0.055535666614349534,0.06482021379980564,0.05435215755168807
138.201.37.241,2.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0000000000000004,0.08560893101651135,0.4802036577357381,3.8471795375769027,0.6054648896063,1.0,0.04682767457825812,0.035162354056473,0.15012110411557908,0.008280887411931854,3.3548199460151577e-11,0.04807840403915805,2017-07-07 03:30:00,2017-07-07 03:40:00,1.0,248.0,2.0,0.00045682960255824577,0.00011759501131614897,9.718172983479106e-05,0.012187502595716809
144.76.121.178,2.0,1.0,1.0,11.0,2.0,2.0,11.0,4.898979485566356,0.08560893101651135,0.35028582400708996,4.066909806347469,0.639019888735618,1.176832167288833,0.04682767457825812,0.02564927185848054,0.15869521671761955,0.008739816037963389,3.948060027932824e-11,0.047982395846360444,2017-07-07 03:30:00,2017-07-07 03:40:00,1.0,254.0,3.0,0.00045682960255824577,0.00012044005191250742,0.0001457725947521866,0.012176359523895846
145.243.233.163,2.0,1.0,1.0,10.0,2.0,2.0,10.0,4.0,0.08560893101651135,0.23876490763093125,3.788857550214621,0.46423736721135955,0.985475184263634,0.04682767457825812,0.017483282526348523,0.1478453171262994,0.006349331623157645,3.306091804470602e-11,0.043701121177424924,2017-07-07 03:30:00,2017-07-07 03:40:00,2.0,24.0,4.0,0.0009136592051164915,1.1380162385433772e-05,0.00019436345966958212,0.011205131001149109
151.101.0.166,3.0,2.0,1.0,25.0,3.0,3.0,25.0,7.549834435270749,0.03772465741989158,0.9176748416311445,2.5349503628850063,0.9900687866909037,1.0465045523023992,0.020635206633922792,0.06719567244094037,0.09891650328182224,0.013541079414177875,3.5108343456597516e-11,0.040057692361194316,2017-07-07 03:30:00,2017-07-07 03:40:00,3.0,129.0,9.0,0.0013704888076747374,6.116837282170653e-05,0.00043731778425655976,0.01048166683148683
192.168.10.9,273.0,149.0,124.0,1730.0,160.0,274.0,1737.0,48.36320915737498,1.3284240261751539,2.087612501622002,18.394795716206694,39.12464665489749,11.474603477343573,0.7266415695305403,0.1528629962147186,0.7177848124646493,0.5351041811714183,3.8495228618407104e-10,0.4264787119532557,2017-07-07 03:30:00,2017-07-07 03:40:00,910.0,474379.0,6797.0,0.41571493832800366,0.2249379188433203,0.3302721088435374,0.3493509194920293
