node,degree,out_degree,in_degree,total_weight,N_i,E_i,W_i,lambda_w,out_in_degree_ratio,out_degree_share,isolation_forest_score_raw,isolation_forest_score
192.168.10.15,1323.0,744.0,579.0,81982.0,746.0,1337.0,765528.0,244648.97464421846,1.2844827586206897,0.5623582766435659,0.8762009142202253,1.0
192.168.10.5,1084.0,599.0,485.0,55938.0,601.0,1090.0,739389.0,244648.93788276694,1.2345679012345678,0.5525830258297485,0.8726511709314161,0.995948710813697
192.168.10.9,1006.0,545.0,461.0,44716.0,556.0,1010.0,726607.0,244648.84269181633,1.1818181818181819,0.5417495029815689,0.8683321197380103,0.9910194176306951
192.168.10.14,765.0,413.0,352.0,36270.0,416.0,779.0,719816.0,244648.93566583795,1.1728045325779037,0.539869281045046,0.8630606710193834,0.9850031619602497
192.168.10.16,906.0,495.0,411.0,48416.0,514.0,911.0,54916.0,3509.2670389687355,1.203883495145631,0.5463576158934367,0.8541532843645251,0.9748372439495553
192.168.10.8,394.0,216.0,178.0,23748.0,218.0,400.0,707199.0,244649.02962411684,1.2122905027932962,0.5482233502524156,0.8413436858977895,0.9602177676869272
192.168.10.17,487.0,278.0,209.0,30197.0,282.0,493.0,36701.0,884.8612323008646,1.3285714285714285,0.570841889115871,0.8385022866165109,0.9569749049654163
192.168.10.12,430.0,250.0,180.0,38747.0,251.0,435.0,45247.0,1001.1973029078887,1.3867403314917126,0.5813953488358572,0.834352250012745,0.9522385065704668
192.168.10.50,31.0,19.0,12.0,694775.0,20.0,73.0,755903.0,244651.27930461775,1.5384615384615385,0.6129032257866805,0.8222103850196396,0.9383811083458701
192.168.10.19,340.0,215.0,125.0,17943.0,216.0,347.0,24452.0,574.5805941200917,1.7142857142857142,0.6323529411746107,0.8221719287189844,0.9383372185255889
192.168.10.25,187.0,118.0,69.0,20835.0,119.0,192.0,27335.0,761.1441122498666,1.7,0.6310160427773743,0.8081998326364646,0.9223909944852338
172.16.0.1,7.0,6.0,1.0,677565.0,7.0,17.0,682966.0,244649.3824990572,3.5,0.8571428570204082,0.8037995177870051,0.9173689558431313
