node,degree,out_degree,in_degree,total_weight,N_i,E_i,W_i,lambda_w,out_in_degree_ratio,out_degree_share,lof_score_raw,lof_score,majority_label,is_malicious
23.194.101.148,1.0,1.0,0.0,5.0,2.0,1.0,5.0,0.0,2.0,0.9999999989999999,22912878471.41484,1.0,BENIGN,False
54.235.219.125,3.0,1.0,2.0,17.0,3.0,3.0,17.0,2.4494897427831783,0.6666666666666666,0.3333333332222222,21322036134.74574,0.9305699483085998,BENIGN,False
210.160.193.168,3.0,1.0,2.0,17.0,3.0,3.0,17.0,2.4494897427831783,0.6666666666666666,0.3333333332222222,21322036134.74574,0.9305699483085998,BENIGN,False
156.154.200.36,3.0,1.0,2.0,17.0,3.0,3.0,17.0,4.47213595499958,0.6666666666666666,0.3333333332222222,18129908105.97546,0.7912540595278582,BENIGN,False
52.71.196.79,3.0,1.0,2.0,17.0,3.0,3.0,17.0,3.872983346207417,0.6666666666666666,0.3333333332222222,17789191104.541492,0.776383950481584,BENIGN,False
52.84.26.218,2.0,1.0,1.0,5.0,2.0,2.0,5.0,2.0000000000000004,1.0,0.49999999975,14260270128.686192,0.622369212426833,BENIGN,False
91.189.89.198,2.0,0.0,2.0,10.0,3.0,2.0,10.0,0.0,0.3333333333333333,0.0,14048527009.59101,0.6131279850812883,,
198.50.139.209,2.0,0.0,2.0,10.0,3.0,2.0,10.0,0.0,0.3333333333333333,0.0,14048527009.59101,0.6131279850812883,,
104.196.26.242,2.0,1.0,1.0,16.0,2.0,2.0,16.0,5.291502622129181,1.0,0.49999999975,13475933122.256763,0.588137939066398,BENIGN,False
35.185.44.103,2.0,1.0,1.0,16.0,2.0,2.0,16.0,5.291502622129181,1.0,0.49999999975,13475933122.256763,0.588137939066398,BENIGN,False
101.201.103.96,1.0,0.0,1.0,4.0,2.0,1.0,4.0,0.0,0.5,0.0,12100677269.25674,0.5281168529023119,,
23.194.142.54,2.0,0.0,2.0,12.0,3.0,2.0,12.0,0.0,0.3333333333333333,0.0,12041594579.792294,0.5255382729330533,,
99.224.25.39,2.0,0.0,2.0,12.0,3.0,2.0,12.0,0.0,0.3333333333333333,0.0,12041594579.792294,0.5255382729330533,,
91.189.91.157,2.0,0.0,2.0,12.0,3.0,2.0,12.0,0.0,0.3333333333333333,0.0,12041594579.792294,0.5255382729330533,,
54.225.202.195,2.0,0.0,2.0,12.0,3.0,2.0,12.0,0.0,0.3333333333333333,0.0,12041594579.792294,0.5255382729330533,,
104.24.96.3,2.0,1.0,1.0,25.0,2.0,2.0,25.0,6.782329983125268,1.0,0.49999999975,9391958951.574837,0.4098986935793273,BENIGN,False
172.217.9.226,2.0,1.0,1.0,25.0,2.0,2.0,25.0,6.782329983125268,1.0,0.49999999975,9391958951.574837,0.4098986935793273,BENIGN,False
151.101.1.34,2.0,1.0,1.0,25.0,2.0,2.0,25.0,6.782329983125268,1.0,0.49999999975,9391958951.574837,0.4098986935793273,BENIGN,False
151.101.20.249,2.0,1.0,1.0,25.0,2.0,2.0,25.0,6.782329983125268,1.0,0.49999999975,9391958951.574837,0.4098986935793273,BENIGN,False
34.253.49.41,2.0,1.0,1.0,25.0,2.0,2.0,25.0,6.782329983125268,1.0,0.49999999975,9391958951.574837,0.4098986935793273,BENIGN,False
34.209.201.65,2.0,1.0,1.0,25.0,2.0,2.0,25.0,6.782329983125268,1.0,0.49999999975,9391958951.574837,0.4098986935793273,BENIGN,False
217.69.133.148,2.0,1.0,1.0,25.0,2.0,2.0,25.0,6.782329983125268,1.0,0.49999999975,9391958951.574837,0.4098986935793273,BENIGN,False
198.54.12.127,2.0,1.0,1.0,25.0,2.0,2.0,25.0,9.165151389911681,1.0,0.49999999975,7309886001.820198,0.3190295802834074,BENIGN,False
69.169.85.7,2.0,1.0,1.0,25.0,2.0,2.0,25.0,9.165151389911681,1.0,0.49999999975,7309886001.820198,0.3190295802834074,BENIGN,False
69.169.86.38,2.0,1.0,1.0,25.0,2.0,2.0,25.0,9.165151389911681,1.0,0.49999999975,7309886001.820198,0.3190295802834074,BENIGN,False
81.20.67.14,2.0,1.0,1.0,25.0,2.0,2.0,25.0,9.165151389911681,1.0,0.49999999975,7309886001.820198,0.3190295802834074,BENIGN,False
80.82.201.88,2.0,1.0,1.0,25.0,2.0,2.0,25.0,9.165151389911681,1.0,0.49999999975,7309886001.820198,0.3190295802834074,BENIGN,False
23.33.109.206,2.0,1.0,1.0,25.0,2.0,2.0,25.0,9.165151389911681,1.0,0.49999999975,7309886001.820198,0.3190295802834074,BENIGN,False
94.199.251.101,2.0,1.0,1.0,4.0,2.0,2.0,4.0,1.7320508075688772,1.0,0.49999999975,7283360346.012039,0.31787190575372093,BENIGN,False
91.192.149.14,1.0,0.0,1.0,13.0,2.0,1.0,13.0,0.0,0.5,0.0,7071067812.865477,0.308606700013141,,
195.54.48.9,1.0,0.0,1.0,13.0,2.0,1.0,13.0,0.0,0.5,0.0,7071067812.865477,0.308606700013141,,
136.147.96.33,1.0,0.0,1.0,13.0,2.0,1.0,13.0,0.0,0.5,0.0,7071067812.865477,0.308606700013141,,
94.31.29.249,1.0,0.0,1.0,13.0,2.0,1.0,13.0,0.0,0.5,0.0,7071067812.865477,0.308606700013141,,
54.209.246.197,1.0,0.0,1.0,13.0,2.0,1.0,13.0,0.0,0.5,0.0,7071067812.865477,0.308606700013141,,
172.217.10.77,1.0,0.0,1.0,13.0,2.0,1.0,13.0,0.0,0.5,0.0,7071067812.865477,0.308606700013141,,
149.56.30.204,1.0,0.0,1.0,13.0,2.0,1.0,13.0,0.0,0.5,0.0,7071067812.865477,0.308606700013141,,
35.158.52.245,1.0,0.0,1.0,13.0,2.0,1.0,13.0,0.0,0.5,0.0,7071067812.865477,0.308606700013141,,
78.47.15.207,1.0,0.0,1.0,13.0,2.0,1.0,13.0,0.0,0.5,0.0,7071067812.865477,0.308606700013141,,
172.217.7.10,1.0,0.0,1.0,13.0,2.0,1.0,13.0,0.0,0.5,0.0,7071067812.865477,0.308606700013141,,
104.193.83.57,1.0,0.0,1.0,13.0,2.0,1.0,13.0,0.0,0.5,0.0,7071067812.865477,0.308606700013141,,
31.172.81.158,2.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0000000000000004,1.0,0.49999999975,5962542023.091143,0.26022666818268875,BENIGN,False
195.93.247.64,1.0,0.0,1.0,11.0,2.0,1.0,11.0,0.0,0.5,0.0,4949747469.305834,0.2160246900222918,,
85.114.144.198,1.0,0.0,1.0,11.0,2.0,1.0,11.0,0.0,0.5,0.0,4949747469.305834,0.2160246900222918,,
141.170.25.54,1.0,0.0,1.0,11.0,2.0,1.0,11.0,0.0,0.5,0.0,4949747469.305834,0.2160246900222918,,
169.55.70.175,1.0,0.0,1.0,11.0,2.0,1.0,11.0,0.0,0.5,0.0,4949747469.305834,0.2160246900222918,,
65.52.108.231,1.0,0.0,1.0,11.0,2.0,1.0,11.0,0.0,0.5,0.0,4949747469.305834,0.2160246900222918,,
77.88.21.90,1.0,0.0,1.0,11.0,2.0,1.0,11.0,0.0,0.5,0.0,4949747469.305834,0.2160246900222918,,
149.202.74.47,1.0,0.0,1.0,11.0,2.0,1.0,11.0,0.0,0.5,0.0,4949747469.305834,0.2160246900222918,,
192.73.240.78,1.0,0.0,1.0,11.0,2.0,1.0,11.0,0.0,0.5,0.0,4949747469.305834,0.2160246900222918,,
209.15.238.232,1.0,0.0,1.0,11.0,2.0,1.0,11.0,0.0,0.5,0.0,4949747469.305834,0.2160246900222918,,
35.185.78.150,1.0,0.0,1.0,11.0,2.0,1.0,11.0,0.0,0.5,0.0,4949747469.305834,0.2160246900222918,,
14.128.26.214,1.0,0.0,1.0,11.0,2.0,1.0,11.0,0.0,0.5,0.0,4949747469.305834,0.2160246900222918,,
169.45.121.189,1.0,0.0,1.0,11.0,2.0,1.0,11.0,0.0,0.5,0.0,4949747469.305834,0.2160246900222918,,
34.202.52.200,1.0,0.0,1.0,11.0,2.0,1.0,11.0,0.0,0.5,0.0,4949747469.305834,0.2160246900222918,,
54.81.28.54,1.0,0.0,1.0,11.0,2.0,1.0,11.0,0.0,0.5,0.0,4949747469.305834,0.2160246900222918,,
74.217.63.14,2.0,1.0,1.0,5.0,2.0,2.0,5.0,2.4494897427831783,1.0,0.49999999975,4413725328.425444,0.19263076587831707,BENIGN,False
74.217.63.11,2.0,1.0,1.0,5.0,2.0,2.0,5.0,2.4494897427831783,1.0,0.49999999975,4413725328.425444,0.19263076587831707,BENIGN,False
183.79.215.138,2.0,1.0,1.0,6.0,2.0,2.0,6.0,2.23606797749979,1.0,0.49999999975,2905734518.567632,0.12681665126416597,BENIGN,False
23.194.141.101,2.0,1.0,1.0,6.0,2.0,2.0,6.0,2.23606797749979,1.0,0.49999999975,2905734518.567632,0.12681665126416597,BENIGN,False
46.166.187.121,2.0,1.0,1.0,6.0,2.0,2.0,6.0,2.23606797749979,1.0,0.49999999975,2905734518.567632,0.12681665126416597,BENIGN,False
23.194.102.2,2.0,1.0,1.0,6.0,2.0,2.0,6.0,2.23606797749979,1.0,0.49999999975,2905734518.567632,0.12681665126416597,BENIGN,False
23.21.108.84,2.0,1.0,1.0,6.0,2.0,2.0,6.0,2.23606797749979,1.0,0.49999999975,2905734518.567632,0.12681665126416597,BENIGN,False
