node,degree,out_degree,in_degree,total_weight,N_i,E_i,W_i,lambda_w,score_edpl,score_ewpl,score_elwpl,score_graph_deviance,score_lof,score_edpl_norm,score_ewpl_norm,score_elwpl_norm,score_graph_deviance_norm,score_lof_norm,oddball_score,majority_label,is_malicious
192.168.10.15,1323.0,744.0,579.0,81982.0,746.0,1337.0,765528.0,244648.97464421892,4.278078452038928,6.737139074517436,51.468351573026645,93.66373786969099,35.16739442375692,1.0,0.16786682997386745,1.0,1.0,2.2926680576904958e-09,0.6335733664533072,BENIGN,False
192.168.10.5,1084.0,599.0,485.0,55938.0,601.0,1090.0,739389.0,244648.93788276715,3.89027719289891,8.121949733468318,51.004489926144025,82.59489555199677,34.42916861594609,0.9093515316543126,0.20237165061967813,0.990987439218362,0.8818236110425822,2.244540900229342e-09,0.5969068469558951,BENIGN,False
192.168.10.9,1006.0,545.0,461.0,44716.0,556.0,1010.0,726607.0,244648.84269181668,3.7610438416364094,8.607843845073385,50.77165687313993,78.96883989822001,34.06922498059343,0.879143261116191,0.21447849646565814,0.9864636290342775,0.8431100625952473,2.2210750936529936e-09,0.5846390902864897,BENIGN,False
192.168.10.14,765.0,413.0,352.0,36270.0,416.0,779.0,719816.0,244648.9356658379,3.237702736711629,10.584726149860177,50.64628161230864,68.91870836797469,33.87828026830117,0.7568123803733761,0.2637357497397063,0.9840276609684769,0.7358099296000481,2.2086268344108577e-09,0.5480771445780468,BENIGN,False
172.16.0.1,7.0,6.0,1.0,677565.0,7.0,17.0,682966.0,244649.38249905733,0.7206476646986684,40.133831535189145,49.94463680246486,37.331495293163684,32.84606009450681,0.16845125043352313,1.0,0.9703951122584559,0.3985693518349744,2.141333301303288e-09,0.5074831433336573,DDoS,True
192.168.10.8,394.0,216.0,178.0,23748.0,218.0,400.0,707199.0,244649.02962411667,2.37684267092085,15.691063034173176,50.41017488657468,53.55767322779241,33.52410118117829,0.555586508655083,0.3909684780635841,0.9794402452359378,0.5718079850956209,2.1855368360457796e-09,0.49956064384715243,BENIGN,False
192.168.10.50,31.0,19.0,12.0,694775.0,20.0,73.0,755903.0,244651.27930461752,1.1459660130721354,29.556679580701747,51.2994035224095,40.86842475031898,34.895233916471135,0.26786933103715505,0.7364529737158685,0.9967174380866379,0.4363313452979731,2.2749250968643326e-09,0.48747421808251196,BENIGN,False
192.168.10.16,906.0,495.0,411.0,48416.0,514.0,911.0,54916.0,3509.267038968736,3.696293358099259,4.624909985361035,25.765518577557973,38.86836519138284,14.188847082636675,0.8640078482753417,0.11523719038153477,0.5006089721175581,0.41497772857899584,9.250135534590704e-10,0.3789663480556888,BENIGN,False
192.168.10.17,487.0,278.0,209.0,30197.0,282.0,493.0,36701.0,884.8612323008656,2.833198571220318,2.53856887492986,22.537346116947433,21.106471613823548,13.975588658424787,0.662259610940519,0.06325259208565859,0.4378874673102747,0.2253430419698579,9.111105963240455e-10,0.27774854264348414,BENIGN,False
192.168.10.12,430.0,250.0,180.0,38747.0,251.0,435.0,45247.0,1001.197302907888,2.691257210426264,0.8338767665794841,24.132976477394855,19.014078579920376,12.063914276623198,0.6290808456641588,0.02077740237306635,0.46888963294566405,0.203003627790016,7.864828022074318e-10,0.26435030191187764,BENIGN,False
192.168.10.255,11.0,0.0,11.0,4004.0,12.0,48.0,71821.0,1553.1084515125779,1.49399459906305,15.714464105767856,27.917657061740645,3.052244728097587,18.070677772932743,0.34922094482652927,0.3915515540047427,0.5424237654499048,0.032587261596841256,1.1780817541271394e-09,0.26315670541121994,,
192.168.10.19,340.0,215.0,125.0,17943.0,216.0,347.0,24452.0,574.5805941200911,2.6502429203290094,2.1578575255129944,19.51996906133601,15.36717288653899,11.829039579180003,0.6194937633894737,0.0537665466508224,0.3792615940621259,0.16406747409460062,7.71170615302167e-10,0.24331787579363864,BENIGN,False
210.160.193.168,3.0,1.0,2.0,17.0,3.0,3.0,17.0,2.4494897427831783,0.00953256430871063,1.75516671557178,2.950555448171491,0.20442474371479333,15339069389.391922,0.002228235039534495,0.043732847037862774,0.057327568456997324,0.002182538817735395,1.0,0.221094237870426,BENIGN,False
54.235.219.125,3.0,1.0,2.0,17.0,3.0,3.0,17.0,2.4494897427831783,0.00953256430871063,1.75516671557178,2.950555448171491,0.20442474371479333,15339069389.391922,0.002228235039534495,0.043732847037862774,0.057327568456997324,0.002182538817735395,1.0,0.221094237870426,BENIGN,False
192.168.10.3,47.0,28.0,19.0,72614.0,31.0,93.0,87849.0,1602.3684119827992,0.5192091539843806,12.612759446208212,29.535873463215612,5.095357230721875,22.008588955695345,0.12136503802003118,0.3142675135602093,0.5738647646662667,0.054400532656627,1.434806010520813e-09,0.21277957006758808,BENIGN,False
