node,degree,out_degree,in_degree,total_weight,N_i,E_i,W_i,lambda_w,score_edpl,score_ewpl,score_elwpl,score_graph_deviance,score_lof,score_edpl_norm,score_ewpl_norm,score_elwpl_norm,score_graph_deviance_norm,score_lof_norm,oddball_score,window_start,window_end,num_flows,total_bytes,total_packets,num_flows_norm,total_bytes_norm,total_packets_norm,combined_score
104.16.207.165,3.0,1.0,2.0,19.0,3.0,3.0,19.0,3.1622776601683795,0.03772465741989158,0.48672680540080376,1.7644151067514573,0.1887923374485088,1.645931824264044,0.020635206633922792,0.035640003953692066,0.06884938468729873,0.002582095374123375,5.52180491382213e-11,0.025541338140851005,2017-07-07 03:30:00,2017-07-07 03:40:00,1.0,12.0,2.0,0.00045682960255824577,5.690081192716886e-06,9.718172983479106e-05,0.00652525988860919
192.168.10.5,484.0,276.0,208.0,4427.0,277.0,485.0,4434.0,68.08893307081411,1.8281695981602124,1.484761151548496,25.627173209537123,73.11594271090937,28.110637383988927,1.0,0.10871990760381778,1.0,1.0,9.43061269910054e-10,0.6217439817093757,2017-07-07 03:30:00,2017-07-07 03:40:00,2189.0,2108933.0,20210.0,1.0,1.0,0.9820213799805636,0.9009413404224847
104.16.28.216,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1.4142135623730951,0.08560893101651135,0.5868267830212922,3.3546742203126674,0.7276612495725536,1.0,0.04682767457825812,0.04296970833523095,0.1309030142686291,0.00995215574870762,3.3548199460151577e-11,0.0461305105928748,2017-07-07 03:30:00,2017-07-07 03:40:00,2.0,12.0,2.0,0.0009136592051164915,5.690081192716886e-06,9.718172983479106e-05,0.011786760402254699
104.17.241.25,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.15464487100869773,0.3683552732135498,3.607326089512245e-09,1.0605598805600442,1.0,0.08459000257105542,0.02697238625040099,1.4076176330559092e-10,0.014505179598837367,3.3548199460151577e-11,0.02521351371892075,2017-07-07 03:30:00,2017-07-07 03:40:00,1.0,6.0,1.0,0.00045682960255824577,2.845040596358443e-06,4.859086491739553e-05,0.006430444806748187
192.168.10.16,304.0,166.0,138.0,1355.0,189.0,307.0,1427.0,56.43580423808985,1.606134302876511,3.0925730780951284,17.578755878688,42.49435391133676,9.521526566730591,0.8785477586394895,0.22645006502082823,0.6859420559168846,0.5811913563004136,3.1943007242581013e-10,0.4744262472394093,2017-07-07 03:30:00,2017-07-07 03:40:00,1323.0,1903194.0,20580.0,0.6043855641845591,0.9024440321243017,1.0,0.7453139608870676
104.19.196.102,2.0,1.0,1.0,27.0,2.0,2.0,27.0,7.0710678118654755,0.08560893101651135,1.7691888818783037,2.153353443263237,0.9930121986305772,1.0545049961195248,0.04682767457825812,0.1295467971874858,0.08402617899588975,0.013581336187605682,3.537674394154418e-11,0.05479639739692323,2017-07-07 03:30:00,2017-07-07 03:40:00,3.0,36.0,6.0,0.0013704888076747374,1.707024357815066e-05,0.0002915451895043732,0.014118875409420122
104.20.10.120,4.0,2.0,2.0,21.0,3.0,4.0,21.0,5.830951894845301,0.2448781103956398,0.1631731065878347,2.5839127891549127,0.6264046923762516,1.2066147412453365,0.13394715164395804,0.01194816085614553,0.10082707008018008,0.008567279161714044,4.047975201085773e-11,0.051057932356495486,2017-07-07 03:30:00,2017-07-07 03:40:00,9.0,96.0,16.0,0.004111466423024212,4.5520649541735087e-05,0.0007774538386783285,0.01399809331693494
104.28.13.116,2.0,1.0,1.0,7.0,2.0,2.0,7.0,3.1622776601683795,0.08560893101651135,0.11505396081655703,4.015824936504869,0.35790243933138816,1.0,0.04682767457825812,0.008424692400110111,0.15670182987682715,0.004894998629047107,3.3548199460151577e-11,0.04336983910355814,2017-07-07 03:30:00,2017-07-07 03:40:00,1.0,12.0,2.0,0.00045682960255824577,5.690081192716886e-06,9.718172983479106e-05,0.010982385129285973
192.168.10.8,16.0,9.0,7.0,45.0,11.0,17.0,52.0,7.535697451670542,0.15540345531299232,1.2852109880674045,0.04833682669355345,1.9618667167944444,1.4505287698638933,0.08500494454638309,0.09410807908623794,0.0018861552266546883,0.026832270009174364,4.86626284940822e-11,0.04156628978342255,2017-07-07 03:30:00,2017-07-07 03:40:00,39.0,26989.0,170.0,0.017816354499771585,0.012797466775853002,0.00826044703595724,0.020110139523751094
104.97.123.193,2.0,1.0,1.0,10.0,2.0,2.0,10.0,3.0,0.08560893101651135,0.23876490763093125,3.0903423914681127,0.3752739772099176,0.9708015661270188,0.04682767457825812,0.017483282526348523,0.12058850058101786,0.005132587549253117,3.256864457665676e-11,0.038006409053489246,2017-07-07 03:30:00,2017-07-07 03:40:00,3.0,86.0,6.0,0.0013704888076747374,4.077891521447102e-05,0.0002915451895043732,0.009927305491470707
104.97.125.160,2.0,1.0,1.0,10.0,2.0,2.0,10.0,4.58257569495584,0.08560893101651135,0.23876490763093125,4.149858665464737,0.5807625888432295,1.0585580194727204,0.04682767457825812,0.017483282526348523,0.1619319708628797,0.007943036324368912,3.551271557741384e-11,0.046837192865473595,2017-07-07 03:30:00,2017-07-07 03:40:00,5.0,203.0,13.0,0.0022841480127912287,9.625720684346065e-05,0.0006316812439261419,0.012462319832258607
